,Main dimension,Subdimension,Sub-subdimension,Feature,Sub Field,Sample Size
0,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Pole (left),-,41194
1,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Frontal Pole (right),-,41194
2,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Insular Cortex (left),-,41194
3,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Insular Cortex (right),-,41194
4,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Superior Frontal Gyrus (left),-,41194
5,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Superior Frontal Gyrus (right),-,41194
6,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Middle Frontal Gyrus (left),-,41194
7,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Middle Frontal Gyrus (right),-,41194
8,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left)",-,41194
9,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)",-,41194
10,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)",-,41194
11,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right)",-,41194
12,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Precentral Gyrus (left),-,41194
13,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Precentral Gyrus (right),-,41194
14,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Temporal Pole (left),-,41194
15,Brain,MRI,GreyMatterVolumes,Volume of grey matter in Temporal Pole (right),-,41194
16,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Superior Temporal Gyrus, anterior division (left)",-,41194
17,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Superior Temporal Gyrus, anterior division (right)",-,41194
18,Brain,MRI,GreyMatterVolumes,"Volume of grey matter in Superior Temporal Gyrus, posterior division (left)",-,41194
